,Name,Estimate_Score
0,Family Guy: Freakin' Sweet Collection,4.508864106640489
1,The O.C.: Season 1,4.496069756854386
2,Farscape: The Peacekeeper Wars,4.483411186260379
3,Nip/Tuck: Season 2,4.4710996297144
4,Lord of the Rings: The Fellowship of the Ring,4.448554233188089
5,Into the Woods,4.439888457768891
6,Stargate SG-1: Season 2,4.433875026737191
7,The West Wing: Season 3,4.426384878138185
8,Buffy the Vampire Slayer: Season 6,4.423125524298561
9,The Simpsons: Season 6,4.415692241038232
10,Alias: Season 1,4.403154665526666
11,Six Feet Under: Season 4,4.38633033975532
12,The Simpsons: Season 1,4.376301145109789
13,The Looney Tunes Golden Collection: Vol. 2,4.375835499118954
14,The Sixth Sense,4.37482976772356
15,Firefly,4.373137875730307
16,Finding Nemo (Widescreen),4.36176049135045
17,CSI: Season 1,4.355996409061152
18,Alias: Season 4,4.350338136359625
19,Gilmore Girls: Season 1,4.344452057933763
20,Curb Your Enthusiasm: Season 3,4.337045240644226
21,Gilmore Girls: Season 3,4.331588502320047
22,Seven Samurai,4.3117286613073285
23,The Simpsons: Treehouse of Horror,4.309503943065362
24,Sex and the City: Season 4,4.308734876715483
25,The Silence of the Lambs,4.307061684882813
26,Angel: Season 4,4.279339669368892
27,The Simpsons: Season 3,4.271724858759272
28,VeggieTales Classics: Where's God When I'm Scared?,4.258993633662121
29,The Blues Brothers: Extended Cut,4.258567059402359
30,The Wizard of Oz: Collector's Edition,4.248002883593606
31,Braveheart,4.243861354452274
32,Lost: Season 1,4.241747165837969
33,Absolutely Fabulous: Series 2,4.2389879449831565
34,Aqua Teen Hunger Force: Vol. 1,4.235417740337374
35,The Chorus,4.234564448048047
36,Aladdin: Platinum Edition,4.232252346190882
37,MASH: Season 7,4.224312812268063
38,The Best of Friends: Vol. 4,4.221068359683388
39,Pride and Prejudice,4.215110970347135
40,Aliens: Collector's Edition,4.205424376636521
41,Stargate SG-1: Season 7,4.200425965539607
42,Northern Exposure: Season 1,4.199377938156598
43,Farscape: Season 2,4.1981798790741855
44,North by Northwest,4.190697311422136
45,Woman of the Year,4.182047074947335
46,Monk: Season 2,4.179568158290497
47,Batman Begins,4.177890276686116
48,Nausicaa of the Valley of the Wind,4.176545324879587
49,Monty Python: The Life of Python,4.165189026792856
50,Return of the Dragon,4.159621133073147
51,Pirates of the Caribbean: The Curse of the Black Pearl,4.157916309511535
52,Law & Order: Special Victims Unit: The First Year,4.1577206351124
53,Star Trek: Voyager: Season 5,4.156647286727639
54,The Twilight Zone: Vol. 42,4.155056449980761
55,Shrek 2,4.150459592673318
56,Friends: Season 6,4.149748227178778
57,Ray,4.148914637006587
58,Mr. Show: Season 2,4.145266023724762
59,The Best of Friends: Season 1,4.144095010600034
60,The Longest Day,4.140401482809761
61,My Neighbor Totoro,4.138238501939013
62,Star Trek: The Next Generation: Season 5,4.136794560764454
63,Absolutely Fabulous: Series 5,4.131630056448078
64,Spirited Away,4.125567361426976
65,The Best of Friends: Season 2,4.1203043199866825
66,Wolf's Rain,4.117170587892171
67,The Pianist,4.11272207390857
68,The Simpsons: Bart Wars,4.111643716631381
69,Chappelle's Show: Season 1,4.10808479935552
70,Foyle's War: Set 2,4.1067868285829165
71,Smallville: Season 1,4.104421840346525
72,Cowboy Bebop Remix,4.098527453009435
73,V: The Complete TV Series,4.097367808629882
