,Unnamed: 0,Cust_Id,Rating,Movie_Id
96125169,1153,23567,1,17035
49982171,5978,1578366,3,9005
27902113,37471,876758,2,5154
85293620,3074,481980,3,15132
87398698,5968,1076126,3,15530
96083527,4405,1216371,4,17031
47665399,88109,1919155,4,8596
33894261,33084,634242,5,6117
8335317,17173,1513643,1,1659
53784518,208,249364,1,9769
76185693,5351,1747784,3,13774
93788222,71655,2506032,1,16640
91184604,2600,2271734,4,16241
59222911,11061,147078,4,10894
12438234,14031,338575,4,2391
92117628,7630,2334126,4,16359
45678640,92,2155831,3,8170
56556343,70912,1003369,3,10358
69742761,5623,2615048,1,12662
52812880,17025,1064752,3,9614
39256539,5771,348646,4,6972
72959844,13338,1693719,4,13207
93289345,27634,1422716,5,16532
48843509,6463,1419103,3,8803
67040078,108956,843856,3,12232
2488494,2474,2210318,4,459
35536924,994,626487,5,6343
67494056,34881,971525,3,12299
34410342,12078,2414794,4,6205
15332151,18231,2328778,5,2942
56674276,78928,551909,5,10359
35284524,171273,1059873,5,6287
67385002,41046,508890,5,12293
8184996,2572,2177513,5,1642
87310074,320,2102473,4,15491
49602931,41057,82118,5,8915
40116847,258,1449496,3,7083
62730498,21016,1053704,5,11398
23600900,2685,1306845,2,4418
6483485,21858,1263062,3,1267
45813750,68255,718405,3,8181
52994377,32420,68718,5,9628
21589003,19467,906829,4,4056
35824577,13,1490015,4,6386
61196886,13702,847947,1,11171
17895605,29648,1608761,2,3427
47277463,2133,2309181,4,8524
27423538,16965,1749635,4,5071
89314768,2021,13197,1,15867
21108101,356,322461,3,3942
80880672,29516,1458257,5,14550
11913559,33,2220984,2,2310
11001946,18300,1711212,5,2136
676622,153,541382,4,182
45053063,1628,1105269,1,8016
70303942,2692,984085,4,12745
60454316,86421,195568,4,11077
73219774,25939,1672204,4,13273
2909882,4785,1803311,5,535
84479790,4187,1455079,4,15063
61936874,10694,2176303,3,11279
65457567,6581,1519761,4,12003
86564410,29390,742976,4,15394
44916954,5669,669124,5,7980
34002511,15751,2430251,3,6134
22933812,988,670416,3,4327
99262685,7570,653025,4,17508
44456514,31925,1193335,5,7879
12845067,100929,525476,5,2452
22529906,46524,1845557,2,4266
30781106,16795,954853,2,5614
28231722,19367,274808,2,5223
83258134,55413,767814,4,14869
43331060,14870,2081699,2,7635
86006111,1778,2029086,4,15282
12290141,90520,163501,4,2372
29679613,11895,154214,1,5434
1512872,15125,1444819,4,312
57194252,17168,2488020,3,10428
18212531,35944,2633551,5,3463
80218310,13596,2260983,5,14467
95699808,122081,506088,3,16954
86960779,1362,294942,1,15445
33324035,12559,1406754,4,6037
29380792,4791,947218,5,5368
80612734,19139,1663422,4,14531
79667400,80138,2416168,4,14382
40821906,54744,1486166,5,7233
32382753,3000,353145,4,5895
62891847,5723,850499,4,11442
66101574,5234,593862,5,12085
87954092,4136,1350936,4,15631
31547913,42952,741042,3,5762
76075066,34239,935141,3,13763
9559396,4651,91982,4,1867
23594502,2462,458475,3,4413
62889963,3839,82235,5,11442
35511263,2999,1537385,4,6339
44839344,395,751666,4,7960
91725950,2424,366233,5,16292
16098960,10144,1516019,3,3128
76797541,6956,2083076,3,13930
1076488,1942,1300489,5,252
26870682,14637,406568,4,4996
22656960,1205,2077046,3,4299
35253155,139904,779835,4,6287
13875851,45607,753280,4,2660
11201705,152272,2060108,4,2152
76268538,35622,1566415,4,13795
34161289,503,1095026,5,6160
97005512,48449,2155808,5,17169
97768072,24103,1159376,3,17308
40881780,33399,250560,3,7234
21721514,1424,819145,5,4097
67671220,341,1349656,4,12310
47578973,1683,957447,4,8596
37995742,2766,686752,2,6760
46955369,26432,963711,4,8413
76700794,10254,819068,4,13923
6789647,4769,318523,5,1324
64251161,11725,1403018,4,11702
69321863,7737,877758,4,12570
99850820,13786,1506586,1,17622
7716830,1601,781950,2,1543
77001051,34610,1639706,4,13981
94536685,531,726526,4,16770
73281572,9946,2024295,4,13298
6110936,2650,773117,4,1202
33238648,35292,2432008,5,6030
17247405,40029,2515558,4,3320
36419120,50946,1690262,5,6464
72007698,50800,2510270,4,13050
12777947,33809,1017694,5,2452
84439939,66912,2164224,4,15062
85196686,161999,2264796,4,15124
17956990,91033,1826673,1,3427
16588489,3054,756396,3,3220
55138453,498,2612891,5,10080
62728309,18827,10380,5,11398
36436411,3954,539919,4,6475
16181568,11113,2211750,2,3148
10731826,26501,263962,4,2112
58519351,518,1883747,2,10741
48715998,57625,2387138,3,8782
2285294,930,175711,3,438
97080357,123294,532582,2,17169
93473500,8853,1922583,3,16572
84387552,14525,1002524,5,15062
32812610,18226,1337084,4,5946
99467235,971,269776,4,17546
8276921,21403,303006,5,1650
26799741,8216,2320386,3,4977
17018118,111657,1196644,5,3282
46389999,37213,1837182,3,8333
52782606,8760,2028524,4,9613
20983621,30390,109074,5,3938
57763055,15678,1654255,3,10583
88567398,108376,394902,3,15755
32381958,2205,312038,4,5895
66995260,64138,1467448,4,12232
